命题名称,分类,序号,技术要点,核心规则,模拟类型,模板,状态,等级,预估工时(天)
三十六计·苦肉计,中华智慧,159,信任博弈模拟+代价vs回报分析,以自我牺牲为信号建立信任，信号发送成本与可信度,交互叙事,对弈型,待开发,B级,1
反身比例要数定理,数学趣题,168,多类真实数据首位数字统计对比+理论曲线,随机数据中以数字1开头的概率约30%而非1/9，违反直觉,交互叙事,揭秘型,待开发,B级,1
市场微观结构(订单簿可视化),经济与金融,175,实时订单簿动画+成交匹配可视化,买卖订单匹配形成价格，Bid-Ask差价反映流动性,可调参数模拟,图表型,待开发,B级,1
反向传播神经网络,信息论与编码,163,可视化神经网络训练过程+权重变化动画+手动调参,多层感知器通过梯度下降学习，每个神经元只做简单计算但组合产生智能,可调参数模拟,揭秘型,待开发,A级,3
双缝实验(观察者效应),物理模拟,174,有/无观察器切换+粒子与波动双模式动画,观察是否发生决定干涉条纹是否出现，量子力学的核心谜题,可调参数模拟,揭秘型,待开发,A级,3
兆罗每尼拿取博弈,博弈与策略,171,用户对战AI+必胜策略可视化揭示,取最后一个物品的人输，逆向分析可得必胜策略,交互叙事,对弈型,待开发,B级,1
调和级数与音率,艺术与数学,167,弦振动动画+谐波叠加+对应音频播放,弦的振动分解为基频+整数倍波，谐波系列决定音色,可调参数模拟,图表型,待开发,B级,1
大数定律与小数定律,概率与统计直觉,164,可调样本量+实时统计+大小样本对比,样本越大越接近真实概率，但小样本的偏差极大,可调参数模拟,图表型,待开发,A级,2
布尔代数与逻辑门,信息论与编码,165,拖拽逻辑门组装电路+实时信号传递,AND/OR/NOT组合可计算任何逻辑，计算机的底层基础,交互叙事,揭秘型,待开发,B级,1
团灵机(图灵完备),信息论与编码,169,可视化图灵机执行过程+用户可输入规则,一条无限纸带+有限状态即可计算任何可计算函数,可调参数模拟,揭秘型,待开发,A级,3
三十六计·连环计,中华智慧,170,多节点依赖链+触发级联动画,多步规划中每一步为下一步创造条件，多米诺骨牌效应,交互叙事,对弈型,待开发,B级,1
惠更斯标度变换,物理模拟,166,滚动圆动画+多种标度线切换,质点沿圆周的轨迹在不同参照系下呈现不同曲线,可调参数模拟,画布型,待开发,B级,1
先手优势与后手优势,博弈与策略,172,多个小博弈对比+先后手优势分析,某些博弈先手必胜某些后手必胜，取决于规则结构,交互叙事,对弈型,待开发,B级,1
飞行时间膌变慢(狗义相对论),物理模拟,173,双子案例动画+洛伦兹变换可视化+速度滑块,速度越快时间越慢，光速不可超越,可调参数模拟,揭秘型,待开发,A级,3
辟谣效应(逆火效应),认知偏差,185,信念网络Agent模拟+辟谣前后信念变化统计,纠正谣言反而强化原有信念，重复谣言内容增加熟悉度,可调参数模拟,画布型,待开发,B级,1
拍频现象(车轮倒转),日常现象,181,旋转轮辐+采样率可调+偏移图案生成,采样频率与旋转频率不匹配时产生偏觉，车轮看似倒转,交互叙事,揭秘型,待开发,B级,1
恶性通货膨胀轮,经济与金融,186,货币发行量与购买力动态曲线,印钱→货币贬值→发更多钱补贴→更多贬值，正反馈崩溃,可调参数模拟,图表型,待开发,B级,1
报童问题(最优分配),数学趣题,176,多人分割博弈+公平性指标可视化,如何分蛋糕使得最不满意的人也满意，“我切你选”策略,交互叙事,揭秘型,待开发,B级,1
规模法则(尺度与结构),生物与生态,187,体积/表面积比值随尺度变化+生物案例,体积增长比表面积快，所以大象不能有蚊子的形状，巨人會被自己压垃,交互叙事,揭秘型,待开发,B级,1
维度诅咒(高维空间直觉),数学趣题,182,不同维度下的体积分布可视化+最近邻距离统计,高维空间中大部分体积集中在表面，随机点几乎都远离中心,可调参数模拟,揭秘型,待开发,A级,3
交通流模拟(幽灵堵车),日常现象,179,车辆跟驰模拟+密度-速度图+扰动传播动画,无明显原因的堵车产生于微小扰动的放大效应，密度波向后传播,可调参数模拟,画布型,待开发,A级,3
反应扩散方程(图灵斑纹),涌现与自组织,178,双物质扩散模拟+参数可调产生不同图案,扩散+反应产生动物表皮斑纹、斑点、条纹等自组织图案,可调参数模拟,画布型,待开发,A级,3
维诺格拉德图(空间分割),数学趣题,180,种子点可拖拽+实时生成维诺诺图,给定种子点，空间中每个点属于最近的种子，自然界广泛存在,可调参数模拟,画布型,待开发,B级,1
拼图可解性(组合爆炸),数学趣题,188,小规模穷举动画+组合数暴增可视化,棋盘/密码/卸化解街等问题的可能组合指数级增长，NP难问题直觉,交互叙事,揭秘型,待开发,B级,1
元胞自动机规则110,涌现与自组织,177,一维元胞自动机时空图+多规则切换,极简规则产生图灵完备的复杂度，Wolfram的发现,可调参数模拟,画布型,待开发,B级,1
文化演化与模因,群体心理,183,多模因Agent竞争传播模拟+分布演变,思想像基因一样复制、变异、竞争，进化论适用于文化传播,可调参数模拟,画布型,待开发,A级,3
布里丹博弈(分钱策略),博弈与策略,184,多战场兵力分配+策略对比+纳什均衡计算,将军按比例分配兵力到多个战场，各战场投入多者胜，最优分配非直觉,交互叙事,对弈型,待开发,B级,1
万物理论(宇宙起源简史),物理模拟,200,时间线交互叙事+每个阶段可探索的微观模拟,从大爆炸到元素形成到星系形成，简单规则的层层涌现,交互叙事,揭秘型,待开发,S级,7
三十六计·美人计(注意力博弈),中华智慧,197,注意力资源分配模拟+决策质量与干扰关系,通过分散对方注意力降低其决策质量，有限注意力资源的博弈,交互叙事,对弈型,待开发,B级,1
排队论与服务设计,日常现象,198,队列模拟+参数可调+等待时间曲线,到达率接近服务率时等待时间急剧上升，单队vs多队的差异,可调参数模拟,图表型,待开发,B级,1
热传导与温度平衡,物理模拟,193,温度场热力图+不同材质导热系数对比,热量从高温向低温流动直到均匀，熵增的直觉演示,可调参数模拟,画布型,待开发,B级,1
三体问题(不可预测性),混沌与非线性,196,三体引力模拟+轨迹可视化+初始条件可调,三个天体引力互作用无解析解，确定性规则产生不可预测轨迹,可调参数模拟,画布型,待开发,A级,3
肥皂泡和最小曲面,物理模拟,195,肥皂泡物理模拟+边界约束拖拽,肥皂泡自动形成最小表面积结构，自然界的优化结果,可调参数模拟,画布型,待开发,B级,1
种子用户与技术采纳曲线,网络与传播,192,网络Agent扩散模拟+S曲线拟合,新技术采纳沿S曲线传播：创新者→早期采用者→多数→落后者,可调参数模拟,图表型,待开发,B级,1
库洛纳数(黄金分割),中华智慧,194,输入偶数→实时展示所有素数对拆分方式,分割偶数为两素数之和（哥德巴赫猜想的可视化）,交互叙事,揭秘型,待开发,B级,1
马尔可夫链与文本生成,信息论与编码,199,训练文本输入→转移矩阵可视化→文本生成动画,基于前文概率的词语生成，GPT的最简化原理,交互叙事,揭秘型,待开发,B级,1
浑沌边缘(相变),混沌与非线性,189,相变图+临界点附近放大+参数空间可视化,有序与混沌的边界上发生最丰富的现象，复杂性的起源,可调参数模拟,图表型,待开发,A级,2
三十六计·欲擒故纵,中华智慧,190,多回合博弈+短视vs长视策略回报对比,短期放弃以获取长期更大回报，延迟满足的博弈版,交互叙事,对弈型,待开发,B级,1
调和分析(任何形状=圆之和),艺术与数学,191,交互叠加不同频率/振幅的圆+实时合成波形,任何周期函数可分解为正弦之和，圆的叠加产生任意形状,可调参数模拟,图表型,待开发,A级,3
